date,open,close,change,change2,change3,https://finance.yahoo.com/quote/%5EGSPC/history?p=^GSPC&.tsrc=fin-srch,,,
1/2/19,2476.959961,2510.030029,-1.3351%,,0.6040%,note that change is open-close/open,,,
1/3/19,2491.919922,2447.889893,1.7669%,-2.4757%,-0.7059%,note that change2 is close-closedaybefore/closedaybefore,,,
1/4/19,2474.330078,2531.939941,-2.3283%,3.4336%,2.4766%,note that change3 is open-opendayafter/open,,,
1/7/19,2535.610107,2549.689941,-0.5553%,0.7010%,1.2817%,,,,
1/8/19,2568.110107,2574.409912,-0.2453%,0.9695%,0.4630%,,,,
1/9/19,2580,2584.959961,-0.1922%,0.4098%,-0.2516%,,,,
1/10/19,2573.51001,2596.639893,-0.8988%,0.4518%,0.5673%,,,,
1/11/19,2588.110107,2596.26001,-0.3149%,-0.0146%,-0.3014%,,,,
1/14/19,2580.310059,2582.610107,-0.0891%,-0.5258%,0.1856%,,,,
1/15/19,2585.100098,2610.300049,-0.9748%,1.0722%,1.1470%,,,,
1/16/19,2614.75,2616.100098,-0.0516%,0.2222%,-0.2092%,,,,
1/17/19,2609.280029,2635.959961,-1.0225%,0.7591%,1.6093%,,,,
1/18/19,2651.27002,2670.709961,-0.7332%,1.3183%,0.2493%,,,,
1/22/19,2657.879883,2632.899902,0.9398%,-1.4157%,-0.5418%,,,,
1/23/19,2643.47998,2638.699951,0.1808%,0.2203%,-0.1755%,,,,
1/24/19,2638.840088,2642.330078,-0.1323%,0.1376%,0.7048%,,,,
1/25/19,2657.439941,2664.76001,-0.2755%,0.8489%,-0.4692%,,,,
1/28/19,2644.969971,2643.850098,0.0423%,-0.7847%,-0.0030%,,,,
1/29/19,2644.889893,2640,0.1849%,-0.1456%,0.3301%,,,,
1/30/19,2653.620117,2681.050049,-1.0337%,1.5549%,1.2010%,,,,
1/31/19,2685.48999,2704.100098,-0.6930%,0.8597%,0.6267%,,,,
2/1/19,2702.320068,2706.530029,-0.1558%,0.0899%,0.1543%,,,,
2/4/19,2706.48999,2724.870117,-0.6791%,0.6776%,0.8073%,,,,
2/5/19,2728.340088,2737.699951,-0.3431%,0.4708%,0.2459%,,,,
2/6/19,2735.050049,2731.610107,0.1258%,-0.2224%,-0.6406%,,,,
2/7/19,2717.530029,2706.050049,0.4224%,-0.9357%,-0.9262%,,,,
2/8/19,2692.360107,2707.879883,-0.5764%,0.0676%,0.7443%,,,,
2/11/19,2712.399902,2709.800049,0.0959%,0.0709%,0.3764%,,,,
2/12/19,2722.610107,2744.72998,-0.8125%,1.2890%,1.0170%,,,,
2/13/19,2750.300049,2753.030029,-0.0993%,0.3024%,-0.2472%,,,,
2/14/19,2743.5,2745.72998,-0.0813%,-0.2652%,0.6102%,,,,
2/15/19,2760.23999,2775.600098,-0.5565%,1.0879%,0.3275%,,,,
2/19/19,2769.280029,2779.76001,-0.3784%,0.1499%,0.3528%,,,,
2/20/19,2779.050049,2784.699951,-0.2033%,0.1777%,0.0428%,,,,
2/21/19,2780.23999,2774.879883,0.1928%,-0.3526%,0.0155%,,,,
2/22/19,2780.669922,2792.669922,-0.4316%,0.6411%,0.8516%,,,,
2/25/19,2804.350098,2796.110107,0.2938%,0.1232%,-0.4275%,,,,
2/26/19,2792.360107,2793.899902,-0.0551%,-0.0790%,-0.1741%,,,,
2/27/19,2787.5,2792.379883,-0.1751%,-0.0544%,0.0219%,,,,
2/28/19,2788.110107,2784.48999,0.1298%,-0.2826%,0.3626%,,,,
3/1/19,2798.219971,2803.689941,-0.1955%,0.6895%,0.5772%,,,,
3/4/19,2814.370117,2792.810059,0.7661%,-0.3881%,-0.7092%,,,,
3/5/19,2794.409912,2789.649902,0.1703%,-0.1132%,-0.1481%,,,,
