company,ticker,industry,date,open,close, openafter ,change,change2,note that change is close-open/open
YayYo,YAYO,Technology,11/13/19,4.25,3.55,3.80,-0.164706,-0.105900,note that change2 is openafter-open/open
89bio,ETNB,Health Care,11/11/19,20.00,20.80,20.85,0.040000,0.042500,
CNS Pharmaceuticals,CNSP,Health Care,11/8/19,4.19,4.57,4.75,0.091213,0.134200,
ECMOHO Ltd.,MOHO,Consumer Goods,11/8/19,10.10,10.10,10.05,0.000000,-0.005000,
TELA Bio,TELA,Health Care,11/8/19,13.75,13.35,13.07,-0.029091,-0.049500,
Centogene B.V.,CNTG,Health Care,11/7/19,14.25,12.49,12.50,-0.123509,-0.122800,
Galera Therapeutics,GRTX,Health Care,11/7/19,12.50,12.00,12.01,-0.040000,-0.039200,
Silvergate Capital,SI,Financials,11/7/19,12.75,12.52,12.78,-0.018039,0.002400,
Q&K International Group,QK,Financials,11/5/19,17.35,17.64,17.88,0.016715,0.030500,
Fangdd Network Group,DUO,Financials,11/1/19,13.00,13.00,13.40,0.000000,0.030800,
Oyster Point Pharma,OYST,Health Care,10/31/19,16.50,18.78,18.44,0.138182,0.117600,
RAPT Therapeutics,RAPT,Health Care,10/31/19,12.25,13.00,12.90,0.061224,0.053100,
Aesthetic Medical International Holdings Group,AIH,Health Care,10/25/19,12.35,10.03,9.31,-0.187854,-0.246200,
Cabaletta Bio,CABA,Health Care,10/25/19,9.00,10.00,10.25,0.111111,0.138900,
Happiness Biotech Group Limited,HAPP,Health Care,10/25/19,4.90,4.50,4.39,-0.081633,-0.104100,
Phathom Pharmaceuticals,PHAT,Health Care,10/25/19,22.50,24.60,23.40,0.093333,0.040000,
Progyny,PGNY,Health Care,10/25/19,13.50,15.94,15.90,0.180741,0.177800,
TFF Pharmaceuticals,TFFP,Health Care,10/25/19,5.19,5.07,5.01,-0.023121,-0.034700,
Youdao,DAO,Consumer Services,10/25/19,13.50,12.50,12.38,-0.074074,-0.083000,
BRP Group,BRP,Financials,10/24/19,17.30,16.37,16.16,-0.053757,-0.065900,
BellRing Brands,BRBR,Consumer Goods,10/17/19,15.50,16.50,16.12,0.064516,0.040000,
HBT Financial,HBT,Financials,10/11/19,16.20,15.54,15.60,-0.040741,-0.037000,
Vir Biotechnology,VIR,Health Care,10/11/19,16.15,14.05,14.50,-0.130031,-0.102200,
BioNTech SE,BNTX,Health Care,10/10/19,16.50,14.24,15.34,-0.136970,-0.070300,
Aprea Therapeutics,APRE,Health Care,10/3/19,15.45,20.50,19.52,0.326861,0.263400,
Frequency Therapeutics,FREQ,Health Care,10/3/19,11.20,13.70,13.50,0.223214,0.205400,
Viela Bio,VIE,Health Care,10/3/19,21.50,23.41,23.00,0.088837,0.069800,
Oportun Financial,OPRT,Financials,9/26/19,15.70,16.17,16.25,0.029936,0.035000,
Peloton Interactive,PTON,Consumer Services,9/26/19,27.17,25.76,26.17,-0.051895,-0.036800,
Datadog,DDOG,Technology,9/19/19,40.35,37.55,38.59,-0.069393,-0.043600,
Exagen,XGN,Health Care,9/19/19,16.80,17.11,18.12,0.018452,0.078600,
Ping Identity Holding,PING,Technology,9/19/19,18.75,20.11,20.18,0.072533,0.076300,
Envista Holdings,NVST,Health Care,9/18/19,25.65,27.95,27.80,0.089669,0.083800,
IGM Biosciences,IGMS,Health Care,9/18/19,18.31,24.30,23.55,0.327144,0.286200,
Cloudflare,NET,Technology,9/13/19,18.00,18.00,18.60,0.000000,0.033300,
Satsuma Pharmaceuticals,STSA,Health Care,9/13/19,18.34,16.90,16.65,-0.078517,-0.092100,
SpringWorks Therapeutics,SWTX,Health Care,9/13/19,24.50,22.63,22.59,-0.076327,-0.078000,
10x Genomics,TXG,Health Care,9/12/19,58.00,52.75,52.75,-0.090517,-0.090500,
SmileDirectClub,SDC,Health Care,9/12/19,20.59,16.67,16.81,-0.190384,-0.183600,
9F,JFU,Financials,8/15/19,10.88,9.76,9.70,-0.102941,-0.108500,
CrossFirst Bankshares,CFB,Financials,8/15/19,14.50,14.68,14.63,0.012414,0.009000,
InMode Ltd.,INMD,Technology,8/8/19,13.63,13.57,13.55,-0.004402,-0.005900,
AMTD International,HKIB,Financials,8/5/19,8.91,10.09,10.65,0.132435,0.195300,
Dynatrace Holdings,DT,Technology,8/1/19,25.50,23.85,23.18,-0.064706,-0.091000,
Kura Sushi USA,KRUS,Consumer Goods,8/1/19,14.89,19.61,19.99,0.316991,0.342500,
Sundial Growers,SNDL,Health Care,8/1/19,13.02,8.48,8.42,-0.348694,-0.353300,
Blue Hat Interactive Entertainment Technology,BHAT,Consumer Goods,7/26/19,4.49,4.58,4.72,0.020045,0.051200,
Wanda Sports Group,WSG,Consumer Services,7/26/19,6.20,5.16,5.49,-0.167742,-0.114500,
Castle Biosciences,CSTL,Health Care,7/25/19,20.00,21.40,21.50,0.070000,0.075000,
Health Catalyst,HCAT,Technology,7/25/19,37.37,39.17,39.14,0.048167,0.047400,
Livongo Health,LVGO,Health Care,7/25/19,40.51,38.10,37.75,-0.059491,-0.068100,
ProSight Global,PROS,Financials,7/25/19,16.00,17.07,17.00,0.066875,0.062500,
Sunnova Energy International,NOVA,Consumer Services,7/25/19,11.05,11.25,11.35,0.018100,0.027100,
Afya Limited,AFYA,Consumer Services,7/19/19,23.50,23.84,23.26,0.014468,-0.010200,
Medallia,MDLA,Technology,7/19/19,34.00,37.05,37.51,0.089706,0.103200,
AssetMark Financial Holdings,AMK,Financials,7/18/19,25.45,27.04,26.79,0.062475,0.052700,
Fulcrum Therapeutics,FULC,Health Care,7/18/19,14.50,13.50,13.50,-0.068966,-0.069000,
Mirum Pharmaceuticals,MIRM,Health Care,7/18/19,13.00,13.21,14.00,0.016154,0.076900,
Owl Rock Capital Corp.,ORCC,Financials,7/18/19,15.50,15.49,15.49,-0.000645,-0.000600,
Phreesia,PHR,Consumer Services,7/18/19,26.75,25.08,25.57,-0.062430,-0.044100,
DouYu International Holdings,DOYU,Technology,7/17/19,11.02,11.50,11.59,0.043557,0.051700,
Karuna Therapeutics,KRTX,Health Care,6/28/19,18.50,20.02,22.39,0.082162,0.210300,
TheRealReal,REAL,Consumer Goods,6/28/19,28.00,28.90,29.47,0.032143,0.052500,
Adaptive Biotechnologies,ADPT,Health Care,6/27/19,39.01,40.30,42.10,0.033068,0.079200,
BridgeBio Pharma,BBIO,Health Care,6/27/19,30.61,27.55,27.90,-0.099967,-0.088500,
Change Healthcare,CHNG,Technology,6/27/19,14.00,15.00,14.72,0.071429,0.051400,
Morphic Holding,MORF,Health Care,6/27/19,18.00,18.00,17.89,0.000000,-0.006100,
BlackRock Science and Technology Trust II,BSTZ,Financials,6/26/19,20.00,20.16,20.15,0.008000,0.007500,
Cambium Networks,CMBM,Telecommunications,6/26/19,10.08,9.70,9.68,-0.037698,-0.039700,
Akero Therapeutics,AKRO,Health Care,6/20/19,16.16,18.32,17.58,0.133663,0.087900,
Atreca,BCEL,Health Care,6/20/19,19.90,18.05,17.25,-0.092965,-0.133200,
Grocery Outlet Holding,GO,Consumer Goods,6/20/19,31.00,28.51,29.74,-0.080323,-0.040600,
Personalis,PSNL,Health Care,6/20/19,23.60,28.49,27.23,0.207203,0.153800,
Prevail Therapeutics,PRVL,Health Care,6/20/19,15.50,13.60,14.25,-0.122581,-0.080600,
Stoke Therapeutics,STOK,Health Care,6/19/19,27.21,25.57,25.01,-0.060272,-0.080900,
Chewy,CHWY,Consumer Goods,6/14/19,36.00,34.99,34.72,-0.028056,-0.035600,
Fiverr International Ltd.,FVRR,Technology,6/13/19,26.00,39.90,41.64,0.534615,0.601500,
CrowdStrike Holdings,CRWD,Technology,6/12/19,63.50,58.00,63.86,-0.086614,0.005700,
Mohawk Group Holdings,MWK,Consumer Goods,6/12/19,10.00,10.00,9.99,0.000000,-0.001000,
Revolve Group,RVLV,Consumer Goods,6/7/19,25.16,34.00,38.90,0.351351,0.546100,
GSX Techedu,GSX,Consumer Services,6/6/19,12.10,10.48,10.07,-0.133884,-0.167800,
Bicycle Therapeutics Limited,BCYC,Health Care,5/23/19,13.37,12.00,12.03,-0.102468,-0.100200,
IDEAYA Biosciences,IDYA,Health Care,5/23/19,14.00,11.19,11.20,-0.200714,-0.200000,
Rattler Midstream Partners LP,RTLR,Oil & Gas,5/23/19,18.06,19.24,18.75,0.065338,0.038200,
Avantor,AVTR,Health Care,5/17/19,14.72,14.50,14.30,-0.014946,-0.028500,
Fastly,FSLY,Technology,5/17/19,21.50,23.99,24.74,0.115814,0.150700,
Luckin Coffee,LK,Consumer Goods,5/17/19,25.02,20.38,21.02,-0.185452,-0.159900,
Postal Realty Trust,PSTL,Financials,5/15/19,17.00,17.00,17.05,0.000000,0.002900,
Applied Therapeutics,APLT,Health Care,5/13/19,8.40,9.40,9.45,0.119048,0.125000,
Jiayin Group,JFIN,Financials,5/10/19,11.00,16.15,15.00,0.468182,0.363600,
Sonim Technologies,SONM,Telecommunications,5/10/19,11.70,10.99,10.83,-0.060684,-0.074400,
Uber Technologies,UBER,Consumer Services,5/10/19,42.00,41.57,38.79,-0.010238,-0.076400,
Axcella Health,AXLA,Health Care,5/9/19,15.12,13.80,13.77,-0.087302,-0.089300,
Cortexyme,CRTX,Health Care,5/9/19,20.17,32.89,33.00,0.630640,0.636100,
HeadHunter Group PLC,HHR,Consumer Services,5/9/19,14.66,15.75,15.59,0.074352,0.063400,
Mayville Engineering,MEC,Industrials,5/9/19,17.00,16.47,16.42,-0.031176,-0.034100,
Milestone Pharmaceuticals,MIST,Health Care,5/9/19,15.61,15.37,15.30,-0.015375,-0.019900,
NextCure,NXTC,Health Care,5/9/19,15.55,19.90,19.48,0.279743,0.252700,
South Plains Financial,SPFI,Financials,5/9/19,17.80,17.71,17.70,-0.005056,-0.005600,
Parsons,PSN,Technology,5/8/19,30.65,30.07,29.64,-0.018923,-0.033000,
