date,open,close,change,change2,change3,https://finance.yahoo.com/quote/%5EIXIC/history?p=%5EIXIC,,,
1/2/19,6506.910156,6665.939941,-2.4440%,,1.1966%,note that change is open-close/open,,,
1/3/19,6584.77002,6463.5,1.8417%,-3.0369%,-0.2677%,note that change2 is close-closedaybefore/closedaybefore,,,
1/4/19,6567.140137,6738.859863,-2.6148%,4.2602%,2.8991%,note that change3 is open-opendayafter/open,,,
1/7/19,6757.529785,6823.470215,-0.9758%,1.2556%,2.0112%,,,,
1/8/19,6893.439941,6897,-0.0516%,1.0776%,0.4297%,,,,
1/9/19,6923.060059,6957.080078,-0.4914%,0.8711%,-0.2081%,,,,
1/10/19,6908.649902,6986.069824,-1.1206%,0.4167%,0.5618%,,,,
1/11/19,6947.459961,6971.47998,-0.3457%,-0.2088%,-0.5675%,,,,
1/14/19,6908.029785,6905.919922,0.0305%,-0.9404%,0.3382%,,,,
1/15/19,6931.390137,7023.830078,-1.3336%,1.7074%,1.4768%,,,,
1/16/19,7033.75,7034.689941,-0.0134%,0.1546%,-0.3358%,,,,
1/17/19,7010.129883,7084.459961,-1.0603%,0.7075%,1.7684%,,,,
1/18/19,7134.100098,7157.22998,-0.3242%,1.0272%,-0.3438%,,,,
1/22/19,7109.569824,7020.359863,1.2548%,-1.9123%,-0.6740%,,,,
1/23/19,7061.649902,7025.77002,0.5081%,0.0771%,-0.2747%,,,,
1/24/19,7042.25,7073.459961,-0.4432%,0.6788%,1.2202%,,,,
1/25/19,7128.180176,7164.859863,-0.5146%,1.2922%,-0.7459%,,,,
1/28/19,7075.009766,7085.680176,-0.1508%,-1.1051%,0.1764%,,,,
1/29/19,7087.490234,7028.290039,0.8353%,-0.8099%,0.1030%,,,,
1/30/19,7094.790039,7183.080078,-1.2444%,2.2024%,1.5981%,,,,
1/31/19,7208.169922,7281.740234,-1.0207%,1.3735%,0.6687%,,,,
2/1/19,7256.370117,7263.870117,-0.1034%,-0.2454%,0.1366%,,,,
2/4/19,7266.279785,7347.540039,-1.1183%,1.1519%,1.2394%,,,,
2/5/19,7356.339844,7402.080078,-0.6218%,0.7423%,0.5995%,,,,
2/6/19,7400.439941,7375.279785,0.3400%,-0.3621%,-1.1343%,,,,
2/7/19,7316.5,7288.350098,0.3847%,-1.1787%,-1.1508%,,,,
2/8/19,7232.299805,7298.200195,-0.9112%,0.1351%,1.3145%,,,,
2/11/19,7327.370117,7307.899902,0.2657%,0.1329%,0.4296%,,,,
2/12/19,7358.850098,7414.620117,-0.7579%,1.4603%,1.0682%,,,,
2/13/19,7437.459961,7420.379883,0.2296%,0.0777%,-0.6348%,,,,
2/14/19,7390.25,7426.950195,-0.4966%,0.0885%,1.0598%,,,,
2/15/19,7468.569824,7472.410156,-0.0514%,0.6121%,-0.2386%,,,,
2/19/19,7450.75,7486.77002,-0.4834%,0.1922%,0.5310%,,,,
2/20/19,7490.310059,7489.069824,0.0166%,0.0307%,-0.1989%,,,,
2/21/19,7475.410156,7459.709961,0.2100%,-0.3920%,0.0832%,,,,
2/22/19,7481.629883,7527.540039,-0.6136%,0.9093%,1.3857%,,,,
2/25/19,7585.299805,7554.459961,0.4066%,0.3576%,-0.6593%,,,,
2/26/19,7535.290039,7549.299805,-0.1859%,-0.0683%,-0.1177%,,,,
2/27/19,7526.419922,7554.509766,-0.3732%,0.0690%,0.0915%,,,,
2/28/19,7533.310059,7532.529785,0.0104%,-0.2910%,0.7187%,,,,
3/1/19,7587.450195,7595.350098,-0.1041%,0.8340%,0.6480%,,,,
3/4/19,7636.620117,7577.569824,0.7733%,-0.2341%,-0.7114%,,,,
3/5/19,7582.290039,7576.359863,0.0782%,-0.0160%,-0.0911%,,,,
3/6/19,7575.379883,7505.919922,0.9169%,-0.9297%,-1.2090%,,,,
3/7/19,7483.790039,7421.459961,0.8329%,-1.1252%,-1.9968%,,,,
3/8/19,7334.350098,7408.140137,-1.0061%,-0.1795%,1.4754%,,,,
3/11/19,7442.560059,7558.060059,-1.5519%,2.0237%,1.7372%,,,,
3/12/19,7571.850098,7591.029785,-0.2533%,0.4362%,0.6541%,,,,
3/13/19,7621.379883,7643.410156,-0.2891%,0.6900%,0.3072%,,,,
3/14/19,7644.790039,7630.910156,0.1816%,-0.1635%,0.1782%,,,,
3/15/19,7658.410156,7688.529785,-0.3933%,0.7551%,0.4958%,,,,
3/18/19,7696.379883,7714.47998,-0.2352%,0.3375%,0.6629%,,,,
3/19/19,7747.399902,7723.950195,0.3027%,0.1228%,-0.3285%,,,,
3/20/19,7721.950195,7728.970215,-0.0909%,0.0650%,-0.2139%,,,,
3/21/19,7705.430176,7838.959961,-1.7329%,1.4231%,1.2306%,,,,
3/22/19,7800.25,7642.669922,2.0202%,-2.5040%,-2.3239%,,,,
3/25/19,7618.97998,7637.540039,-0.2436%,-0.0671%,1.0634%,,,,
3/26/19,7700,7691.52002,0.1101%,0.7068%,0.0266%,,,,
3/27/19,7702.049805,7643.379883,0.7617%,-0.6259%,-0.5450%,,,,
3/28/19,7660.069824,7669.169922,-0.1188%,0.3374%,0.8700%,,,,
3/29/19,7726.709961,7729.319824,-0.0338%,0.7843%,0.9516%,,,,
4/1/19,7800.240234,7828.910156,-0.3676%,1.2885%,0.3124%,,,,
4/2/19,7824.609863,7848.689941,-0.3077%,0.2527%,0.8508%,,,,
4/3/19,7891.180176,7895.549805,-0.0554%,0.5970%,0.0390%,,,,
4/4/19,7894.259766,7891.779785,0.0314%,-0.0477%,0.2565%,,,,
4/5/19,7914.509766,7938.689941,-0.3055%,0.5944%,0.1312%,,,,
4/8/19,7924.890137,7953.879883,-0.3658%,0.1913%,-0.0015%,,,,
4/9/19,7924.77002,7909.279785,0.1955%,-0.5607%,-0.0257%,,,,
4/10/19,7922.72998,7964.240234,-0.5239%,0.6949%,0.6623%,,,,
4/11/19,7975.200195,7947.359863,0.3491%,-0.2120%,0.1122%,,,,
4/12/19,7984.149902,7984.160156,-0.0001%,0.4631%,0.0377%,,,,
4/15/19,7987.160156,7976.009766,0.1396%,-0.1021%,0.1679%,,,,
4/16/19,8000.569824,8000.22998,0.0042%,0.3037%,0.5550%,,,,
4/17/19,8044.970215,7996.080078,0.6077%,-0.0519%,-0.5782%,,,,
4/18/19,7998.450195,7998.060059,0.0049%,0.0248%,-0.3636%,,,,
4/22/19,7969.370117,8015.27002,-0.5760%,0.2152%,0.7200%,,,,
4/23/19,8026.75,8120.819824,-1.1720%,1.3169%,1.1976%,,,,
