date,open,close,change,change2,change3,https://finance.yahoo.com/quote/%5EGSPC/history?p=^GSPC&.tsrc=fin-srch
1/2/19,2476.96,2510.03,-0.013351,,0.006040,note that change is open-close/open
1/3/19,2491.92,2447.89,0.017669,-0.024757,-0.007059,note that change2 is close-closedaybefore/closedaybefore
1/4/19,2474.33,2531.94,-0.023283,0.034336,0.024766,note that change3 is open-opendayafter/open
1/7/19,2535.61,2549.69,-0.005553,0.007010,0.012817,
1/8/19,2568.11,2574.41,-0.002453,0.009695,0.004630,
1/9/19,2580.00,2584.96,-0.001922,0.004098,-0.002516,
1/10/19,2573.51,2596.64,-0.008988,0.004518,0.005673,
1/11/19,2588.11,2596.26,-0.003149,-0.000146,-0.003014,
1/14/19,2580.31,2582.61,-0.000891,-0.005258,0.001856,
1/15/19,2585.10,2610.30,-0.009748,0.010722,0.011470,
1/16/19,2614.75,2616.10,-0.000516,0.002222,-0.002092,
1/17/19,2609.28,2635.96,-0.010225,0.007591,0.016093,
1/18/19,2651.27,2670.71,-0.007332,0.013183,0.002493,
1/22/19,2657.88,2632.90,0.009398,-0.014157,-0.005418,
1/23/19,2643.48,2638.70,0.001808,0.002203,-0.001755,
1/24/19,2638.84,2642.33,-0.001323,0.001376,0.007048,
1/25/19,2657.44,2664.76,-0.002755,0.008489,-0.004692,
1/28/19,2644.97,2643.85,0.000423,-0.007847,-0.000030,
1/29/19,2644.89,2640.00,0.001849,-0.001456,0.003301,
1/30/19,2653.62,2681.05,-0.010337,0.015549,0.012010,
1/31/19,2685.49,2704.10,-0.006930,0.008597,0.006267,
2/1/19,2702.32,2706.53,-0.001558,0.000899,0.001543,
2/4/19,2706.49,2724.87,-0.006791,0.006776,0.008073,
2/5/19,2728.34,2737.70,-0.003431,0.004708,0.002459,
2/6/19,2735.05,2731.61,0.001258,-0.002224,-0.006406,
2/7/19,2717.53,2706.05,0.004224,-0.009357,-0.009262,
2/8/19,2692.36,2707.88,-0.005764,0.000676,0.007443,
2/11/19,2712.40,2709.80,0.000959,0.000709,0.003764,
2/12/19,2722.61,2744.73,-0.008125,0.012890,0.010170,
2/13/19,2750.30,2753.03,-0.000993,0.003024,-0.002472,
2/14/19,2743.50,2745.73,-0.000813,-0.002652,0.006102,
2/15/19,2760.24,2775.60,-0.005565,0.010879,0.003275,
2/19/19,2769.28,2779.76,-0.003784,0.001499,0.003528,
2/20/19,2779.05,2784.70,-0.002033,0.001777,0.000428,
2/21/19,2780.24,2774.88,0.001928,-0.003526,0.000155,
2/22/19,2780.67,2792.67,-0.004316,0.006411,0.008516,
2/25/19,2804.35,2796.11,0.002938,0.001232,-0.004275,
2/26/19,2792.36,2793.90,-0.000551,-0.000790,-0.001741,
2/27/19,2787.50,2792.38,-0.001751,-0.000544,0.000219,
2/28/19,2788.11,2784.49,0.001298,-0.002826,0.003626,
3/1/19,2798.22,2803.69,-0.001955,0.006895,0.005772,
3/4/19,2814.37,2792.81,0.007661,-0.003881,-0.007092,
3/5/19,2794.41,2789.65,0.001703,-0.001132,-0.001481,
3/6/19,2790.27,2771.45,0.006745,-0.006524,-0.008508,
3/7/19,2766.53,2748.93,0.006362,-0.008126,-0.012919,
3/8/19,2730.79,2743.07,-0.004497,-0.002132,0.006159,
3/11/19,2747.61,2783.30,-0.012989,0.014666,0.014460,
3/12/19,2787.34,2791.52,-0.001500,0.002953,0.004463,
3/13/19,2799.78,2810.92,-0.003979,0.006950,0.003786,
3/14/19,2810.38,2808.48,0.000676,-0.000868,0.000146,
3/15/19,2810.79,2822.48,-0.004159,0.004985,0.004205,
3/18/19,2822.61,2832.94,-0.003660,0.003706,0.006430,
3/19/19,2840.76,2832.57,0.002883,-0.000131,-0.003316,
3/20/19,2831.34,2824.23,0.002511,-0.002944,-0.004104,
3/21/19,2819.72,2854.88,-0.012469,0.010852,0.008795,
3/22/19,2844.52,2800.71,0.015402,-0.018975,-0.017054,
3/25/19,2796.01,2798.36,-0.000841,-0.000839,0.005955,
3/26/19,2812.66,2818.46,-0.002062,0.007183,0.002510,
3/27/19,2819.72,2805.37,0.005089,-0.004644,-0.003660,
3/28/19,2809.40,2815.44,-0.002150,0.003589,0.006717,
3/29/19,2828.27,2834.40,-0.002167,0.006734,0.007199,
4/1/19,2848.63,2867.19,-0.006515,0.011569,0.006884,
4/2/19,2868.24,2867.24,0.000349,0.000017,0.002737,
4/3/19,2876.09,2873.40,0.000935,0.002148,-0.000730,
4/4/19,2873.99,2879.39,-0.001879,0.002085,0.003539,
4/5/19,2884.16,2892.74,-0.002975,0.004636,0.001491,
4/8/19,2888.46,2895.77,-0.002531,0.001047,-0.000651,
4/9/19,2886.58,2878.20,0.002903,-0.006067,-0.001805,
4/10/19,2881.37,2888.21,-0.002374,0.003478,0.003661,
4/11/19,2891.92,2888.32,0.001245,0.000038,0.003091,
4/12/19,2900.86,2907.41,-0.002258,0.006609,0.002572,
4/15/19,2908.32,2905.58,0.000942,-0.000629,0.001355,
4/16/19,2912.26,2907.06,0.001786,0.000509,0.001298,
4/17/19,2916.04,2900.45,0.005346,-0.002274,-0.003851,
4/18/19,2904.81,2905.03,-0.000076,0.001579,-0.002076,
4/22/19,2898.78,2907.97,-0.003170,0.001012,0.003867,
4/23/19,2909.99,2933.68,-0.008141,0.008841,0.008251,
4/24/19,2934.00,2927.25,0.002301,-0.002192,-0.001708,
4/25/19,2928.99,2926.17,0.000963,-0.000369,-0.001086,
4/26/19,2925.81,2939.88,-0.004809,0.004685,0.005048,
4/29/19,2940.58,2943.03,-0.000833,0.001072,-0.001170,
4/30/19,2937.14,2945.83,-0.002959,0.000951,0.005172,
5/1/19,2952.33,2923.73,0.009687,-0.007502,-0.010219,
5/2/19,2922.16,2917.52,0.001588,-0.002124,0.002413,
5/3/19,2929.21,2945.64,-0.005609,0.009638,-0.006937,
5/6/19,2908.89,2932.47,-0.008106,-0.004471,0.001423,
5/7/19,2913.03,2884.05,0.009948,-0.016512,-0.011473,
5/8/19,2879.61,2879.42,0.000066,-0.001605,-0.006866,
5/9/19,2859.84,2870.72,-0.003804,-0.003021,0.001140,
5/10/19,2863.10,2881.40,-0.006392,0.003720,-0.008002,
5/13/19,2840.19,2811.87,0.009971,-0.024131,-0.007066,
5/14/19,2820.12,2834.41,-0.005067,0.008016,0.000092,
5/15/19,2820.38,2850.96,-0.010843,0.005839,0.012559,
5/16/19,2855.80,2876.32,-0.007185,0.008895,0.000980,
5/17/19,2858.60,2859.53,-0.000325,-0.005837,-0.005828,
5/20/19,2841.94,2840.23,0.000602,-0.006749,0.004251,
5/21/19,2854.02,2864.36,-0.003623,0.008496,0.000715,
5/22/19,2856.06,2856.27,-0.000074,-0.002824,-0.006779,
5/23/19,2836.70,2822.24,0.005097,-0.011914,-0.001512,
5/24/19,2832.41,2826.06,0.002242,0.001354,-0.000840,
5/28/19,2830.03,2802.39,0.009767,-0.008376,-0.014056,
5/29/19,2790.25,2783.02,0.002591,-0.006912,-0.001186,
5/30/19,2786.94,2788.86,-0.000689,0.002098,-0.007460,
5/31/19,2766.15,2752.06,0.005094,-0.013195,-0.005285,
6/3/19,2751.53,2744.45,0.002573,-0.002765,0.004038,
6/4/19,2762.64,2803.27,-0.014707,0.021432,0.020071,
6/5/19,2818.09,2826.15,-0.002860,0.008162,0.003698,
6/6/19,2828.51,2843.49,-0.005296,0.006136,0.008612,
6/7/19,2852.87,2873.34,-0.007175,0.010498,0.011553,
6/10/19,2885.83,2886.73,-0.000312,0.004660,0.006043,
6/11/19,2903.27,2885.72,0.006045,-0.000350,-0.007075,
6/12/19,2882.73,2879.84,0.001002,-0.002038,0.001218,
6/13/19,2886.24,2891.64,-0.001871,0.004097,0.000201,
6/14/19,2886.82,2886.98,-0.000055,-0.001612,0.001015,
6/17/19,2889.75,2889.67,0.000028,0.000932,0.005869,
6/18/19,2906.71,2917.75,-0.003798,0.009717,0.004761,
6/19/19,2920.55,2926.46,-0.002024,0.002985,0.009947,
6/20/19,2949.60,2954.18,-0.001553,0.009472,0.001054,
6/21/19,2952.71,2950.46,0.000762,-0.001259,-0.000437,
6/24/19,2951.42,2945.35,0.002057,-0.001732,-0.001911,
6/25/19,2945.78,2917.38,0.009641,-0.009496,-0.006691,
6/26/19,2926.07,2913.78,0.004200,-0.001234,-0.002191,
6/27/19,2919.66,2924.92,-0.001802,0.003823,0.004548,
6/28/19,2932.94,2941.76,-0.003007,0.005757,0.013117,
7/1/19,2971.41,2964.33,0.002383,0.007672,-0.002272,
7/2/19,2964.66,2973.01,-0.002817,0.002928,0.004527,
7/3/19,2978.08,2995.82,-0.005957,0.007672,0.002072,
7/5/19,2984.25,2990.41,-0.002064,-0.001806,-0.001501,
7/8/19,2979.77,2975.95,0.001282,-0.004835,-0.004782,
7/9/19,2965.52,2979.63,-0.004758,0.001237,0.008019,
7/10/19,2989.30,2993.07,-0.001261,0.004511,0.003452,
