Airline,Quarter,Date,Open,Adj Close,Volume
Delta,20173,10/1/17,48.349998,46.899059,161469100
Delta,20174,1/1/18,56.290001,53.548347,217524400
Delta,20181,4/1/18,54.59,49.540798,166861300
Delta,20182,7/1/18,49.25,51.93478,150839400
Delta,20183,10/1/18,57.990002,52.586765,186771600
Delta,20184,1/1/19,49.25,47.792751,199934200
Delta,20191,4/1/19,51.82,56.75317,148486000
Delta,20192,7/1/19,57.299999,59.789673,145644600
Delta,20193,10/1/19,58.049999,54.298599,177485000
Delta,20194,1/1/20,58.93,55.357456,173131800
Delta,20201,4/1/20,26.59,25.91,1351787400
Delta,20202,7/1/20,29.02,24.969999,571216100
Delta,20203,10/1/20,30.99,30.639999,365073100
Delta,20204,1/1/21,40.169998,37.959999,252877700
Delta,20211,4/1/21,48.59,46.919998,262740100
Delta,20212,7/1/21,43.5,39.900002,280872300
Delta,20213,10/1/21,43.950001,39.130001,246412100
Delta,20214,1/1/22,39.790001,39.689999,276197700
Delta,20221,4/1/22,39.669998,43.029999,329775600
Delta,20222,7/1/22,29.23,31.799999,283897800
Delta,20223,10/28/22,34.07,34.68,5110762
Southwest,20173,10/1/17,56.02,52.256557,119151500
Southwest,20174,1/1/18,65.910004,59.109665,116206700
Southwest,20181,4/1/18,57.189999,51.471451,113398500
Southwest,20182,7/1/18,50.630001,56.840462,109641900
Southwest,20183,10/1/18,62.610001,48.11092,143452500
Southwest,20184,1/1/19,46.049999,55.780769,104026300
Southwest,20191,4/1/19,52.27,53.453297,80443900
Southwest,20192,7/1/19,51.200001,50.983997,80907400
Southwest,20193,10/1/19,54.290001,55.733364,98944500
Southwest,20194,1/1/20,54.380001,54.769211,105167500
Southwest,20201,4/1/20,34.049999,31.25,450738100
Southwest,20202,7/1/20,35.290001,30.889999,298878700
Southwest,20203,10/1/20,37.959999,39.529999,199321500
Southwest,20204,1/1/21,46.48,43.939999,142916000
Southwest,20211,4/1/21,61.27,62.779999,116894100
Southwest,20212,7/1/21,53.599998,50.52,178675500
Southwest,20213,10/1/21,53.77,47.279999,160313600
Southwest,20214,1/1/22,43.169998,44.759998,166796600
Southwest,20221,4/1/22,45.919998,46.720001,140388800
Southwest,20222,7/1/22,36.09,38.119999,127426100
Southwest,20223,10/28/22,35.580002,35.987499,5161281
United,20173,10/1/17,60.900002,58.48,153805700
United,20174,1/1/18,67.900002,67.82,135147300
United,20181,4/1/18,69.120003,67.540001,94095300
United,20182,7/1/18,69.400002,80.400002,93174400
United,20183,10/1/18,89.290001,85.510002,98781900
United,20184,1/1/19,81.690002,87.269997,93456100
United,20191,4/1/19,80.209999,88.860001,61650400
United,20192,7/1/19,88.839996,91.910004,62317400
United,20193,10/1/19,89.150002,90.839996,61233900
United,20194,1/1/20,89.57,74.800003,98401800
United,20201,4/1/20,29.51,29.58,847463100
United,20202,7/1/20,36.919998,31.379999,1119286400
United,20203,10/1/20,35.23,33.860001,493070800
United,20204,1/1/21,43.68,39.990002,279459200
United,20211,4/1/21,57.66,54.400002,317117800
United,20212,7/1/21,52.790001,46.720001,275847900
United,20213,10/1/21,48.900002,46.139999,225349700
United,20214,1/1/22,44.669998,42.880001,246471000
United,20221,4/1/22,46.509998,50.5,297380100
United,20222,7/1/22,35.509998,36.75,234965800
United,20223,10/28/22,43.27,43.580002,6144185
