Airline,Quarter,Date,Open,Close,Adj Close,Volume
Delta,,9/1/17,47.419998,48.220001,45.202339,164672300
Delta,20173,10/1/17,48.349998,50.029999,46.899059,161469100
Delta,,11/1/17,50.189999,52.919998,49.608204,120895100
Delta,,12/1/17,52.549999,56,52.822044,137221700
Delta,20174,1/1/18,56.290001,56.77,53.548347,217524400
Delta,,2/1/18,56.509998,53.900002,50.841221,156682300
Delta,,3/1/18,53.869999,54.810001,51.997917,136801500
Delta,20181,4/1/18,54.59,52.220001,49.540798,166861300
Delta,,5/1/18,52.27,54.049999,51.276905,138665600
Delta,,6/1/18,54.419998,49.540001,47.277637,133617700
Delta,20182,7/1/18,49.25,54.419998,51.93478,150839400
Delta,,8/1/18,54.790001,58.48,56.189919,96064700
Delta,,9/1/18,58.5,57.830002,55.565369,100806000
Delta,20183,10/1/18,57.990002,54.73,52.586765,186771600
Delta,,11/1/18,54.93,60.709999,58.332588,131488300
Delta,,12/1/18,61,49.900002,48.247189,145415900
Delta,20184,1/1/19,49.25,49.43,47.792751,199934200
Delta,,2/1/19,49.630001,49.580002,47.93779,128870700
Delta,,3/1/19,49.369999,51.650002,50.288235,166809100
Delta,20191,4/1/19,51.82,58.290001,56.75317,148486000
Delta,,5/1/19,58.200001,51.5,50.142189,87101100
Delta,,6/1/19,51.48,56.75,55.587547,100204800
Delta,20192,7/1/19,57.299999,61.040001,59.789673,145644600
Delta,,8/1/19,61.310001,57.860001,57.039158,112141700
Delta,,9/1/19,57.439999,57.599998,56.782845,106340200
Delta,20193,10/1/19,58.049999,55.080002,54.298599,177485000
Delta,,11/1/19,55.549999,57.310001,56.916679,105598900
Delta,,12/1/19,57.25,58.48,58.078648,100565600
Delta,20194,1/1/20,58.93,55.740002,55.357456,173131800
Delta,,2/1/20,56.200001,46.130001,45.813408,165222100
Delta,,3/1/20,46.220001,28.530001,28.530001,823679400
Delta,20201,4/1/20,26.59,25.91,25.91,1351787400
Delta,,5/1/20,24.950001,25.209999,25.209999,1171815600
Delta,,6/1/20,25.33,28.049999,28.049999,1333078400
Delta,20202,7/1/20,29.02,24.969999,24.969999,571216100
Delta,,8/1/20,24.85,30.85,30.85,463825600
Delta,,9/1/20,30.02,30.58,30.58,464823400
Delta,20203,10/1/20,30.99,30.639999,30.639999,365073100
Delta,,11/1/20,30.620001,40.25,40.25,386248000
Delta,,12/1/20,40.790001,40.209999,40.209999,276192900
Delta,20204,1/1/21,40.169998,37.959999,37.959999,252877700
Delta,,2/1/21,38.349998,47.939999,47.939999,253317100
Delta,,3/1/21,49.470001,48.279999,48.279999,311352900
Delta,20211,4/1/21,48.59,46.919998,46.919998,262740100
Delta,,5/1/21,47.189999,47.68,47.68,219837000
Delta,,6/1/21,48.130001,43.259998,43.259998,228697100
Delta,20212,7/1/21,43.5,39.900002,39.900002,280872300
Delta,,8/1/21,40.040001,40.439999,40.439999,252152500
Delta,,9/1/21,40.57,42.610001,42.610001,225924300
Delta,20213,10/1/21,43.950001,39.130001,39.130001,246412100
Delta,,11/1/21,39.150002,36.200001,36.200001,276217900
Delta,,12/1/21,36.869999,39.080002,39.080002,347049900
Delta,20214,1/1/22,39.790001,39.689999,39.689999,276197700
Delta,,2/1/22,39.799999,39.919998,39.919998,265638700
Delta,,3/1/22,39.5,39.57,39.57,419255300
Delta,20221,4/1/22,39.669998,43.029999,43.029999,329775600
Delta,,5/1/22,42.950001,41.689999,41.689999,265021700
Delta,,6/1/22,42.130001,28.969999,28.969999,341159100
Delta,20222,7/1/22,29.23,31.799999,31.799999,283897800
Delta,,8/1/22,31.780001,31.07,31.07,191471800
Delta,,9/1/22,30.65,28.059999,28.059999,220635500
Delta,20223,10/28/22,34.07,34.68,34.68,5110762
United,,9/1/17,62.540001,60.880001,60.880001,109888100
United,20173,10/1/17,60.900002,58.48,58.48,153805700
United,,11/1/17,58.200001,63.32,63.32,79742800
United,,12/1/17,63.200001,67.400002,67.400002,76524000
United,20174,1/1/18,67.900002,67.82,67.82,135147300
United,,2/1/18,67.220001,67.790001,67.790001,75668300
United,,3/1/18,67.779999,69.470001,69.470001,75113700
United,20181,4/1/18,69.120003,67.540001,67.540001,94095300
United,,5/1/18,67.589996,69.589996,69.589996,62753900
United,,6/1/18,70,69.730003,69.730003,60887100
United,20182,7/1/18,69.400002,80.400002,80.400002,93174400
United,,8/1/18,80.769997,87.419998,87.419998,53626800
United,,9/1/18,87.839996,89.059998,89.059998,55554500
United,20183,10/1/18,89.290001,85.510002,85.510002,98781900
United,,11/1/18,85.620003,96.699997,96.699997,69428900
United,,12/1/18,97.669998,83.730003,83.730003,76595900
United,20184,1/1/19,81.690002,87.269997,87.269997,93456100
United,,2/1/19,87.209999,87.809998,87.809998,48060300
United,,3/1/19,88.459999,79.779999,79.779999,70890400
United,20191,4/1/19,80.209999,88.860001,88.860001,61650400
United,,5/1/19,89.059998,77.650002,77.650002,50213100
United,,6/1/19,77.379997,87.550003,87.550003,43843200
United,20192,7/1/19,88.839996,91.910004,91.910004,62317400
United,,8/1/19,92.029999,84.309998,84.309998,53155300
United,,9/1/19,83.639999,88.410004,88.410004,47775300
United,20193,10/1/19,89.150002,90.839996,90.839996,61233900
United,,11/1/19,91.650002,92.800003,92.800003,35095100
United,,12/1/19,93,88.089996,88.089996,42638400
United,20194,1/1/20,89.57,74.800003,74.800003,98401800
United,,2/1/20,75.489998,61.59,61.59,99928300
United,,3/1/20,61.130001,31.549999,31.549999,472476700
United,20201,4/1/20,29.51,29.58,29.58,847463100
United,,5/1/20,28.1,28.040001,28.040001,1157715300
United,,6/1/20,28.190001,34.610001,34.610001,1791841200
United,20202,7/1/20,36.919998,31.379999,31.379999,1119286400
United,,8/1/20,31.33,36,36,759561000
United,,9/1/20,35.25,34.75,34.75,587342300
United,20203,10/1/20,35.23,33.860001,33.860001,493070800
United,,11/1/20,34.080002,45.049999,45.049999,443920300
United,,12/1/20,45.830002,43.25,43.25,379409800
United,20204,1/1/21,43.68,39.990002,39.990002,279459200
United,,2/1/21,40.349998,52.68,52.68,302408500
United,,3/1/21,55.439999,57.540001,57.540001,411079700
United,20211,4/1/21,57.66,54.400002,54.400002,317117800
United,,5/1/21,54.669998,58.349998,58.349998,263618400
United,,6/1/21,59.119999,52.290001,52.290001,249227100
United,20212,7/1/21,52.790001,46.720001,46.720001,275847900
United,,8/1/21,46.849998,46.509998,46.509998,227251800
United,,9/1/21,46.75,47.57,47.57,244890300
United,20213,10/1/21,48.900002,46.139999,46.139999,225349700
United,,11/1/21,46.18,42.259998,42.259998,254050900
United,,12/1/21,43.029999,43.779999,43.779999,334699700
United,20214,1/1/22,44.669998,42.880001,42.880001,246471000
United,,2/1/22,43.009998,44.400002,44.400002,241578300
United,,3/1/22,43.639999,46.360001,46.360001,437220600
United,20221,4/1/22,46.509998,50.5,50.5,297380100
United,,5/1/22,50.490002,47.630001,47.630001,281904300
United,,6/1/22,48.23,35.419998,35.419998,255335100
United,20222,7/1/22,35.509998,36.75,36.75,234965800
United,,8/1/22,36.689999,35.009998,35.009998,175294700
United,,9/1/22,34.669998,32.529999,32.529999,210589700
United,20223,10/28/22,43.27,43.580002,43.580002,6144185
Southwest,,9/1/17,52.349998,55.98,54.313446,116273300
Southwest,20173,10/1/17,56.02,53.860001,52.256557,119151500
Southwest,,11/1/17,54.029999,60.669998,58.863827,91032900
Southwest,,12/1/17,60.509998,65.449997,63.501518,85218100
Southwest,20174,1/1/18,65.910004,60.799999,59.109665,116206700
Southwest,,2/1/18,60.509998,57.84,56.231956,91537100
Southwest,,3/1/18,57.779999,57.279999,55.687523,108342800
Southwest,20181,4/1/18,57.189999,52.830002,51.471451,113398500
Southwest,,5/1/18,52.799999,51.080002,49.766453,139139900
Southwest,,6/1/18,51.200001,50.880001,49.571598,134202100
Southwest,20182,7/1/18,50.630001,58.16,56.840462,109641900
Southwest,,8/1/18,58.119999,61.299999,59.909222,83209400
Southwest,,9/1/18,61.43,62.450001,61.191998,74908300
Southwest,20183,10/1/18,62.610001,49.099998,48.11092,143452500
Southwest,,11/1/18,49.299999,54.610001,53.509926,101260600
Southwest,,12/1/18,54.900002,46.48,45.543697,91516600
Southwest,20184,1/1/19,46.049999,56.759998,55.780769,104026300
Southwest,,2/1/19,56.990002,56.040001,55.073189,105775000
Southwest,,3/1/19,56.279999,51.91,51.014439,131602400
Southwest,20191,4/1/19,52.27,54.23,53.453297,80443900
Southwest,,5/1/19,54.599998,47.599998,46.918255,70445600
Southwest,,6/1/19,47.599998,50.779999,50.052708,73042500
Southwest,20192,7/1/19,51.200001,51.529999,50.983997,80907400
Southwest,,8/1/19,51.529999,52.32,51.765625,72886000
Southwest,,9/1/19,51.889999,54.009998,53.628338,75093800
Southwest,20193,10/1/19,54.290001,56.130001,55.733364,98944500
Southwest,,11/1/19,56.34,57.639999,57.232689,44694500
Southwest,,12/1/19,57.599998,53.98,53.598553,74927100
Southwest,20194,1/1/20,54.380001,54.98,54.769211,105167500
Southwest,,2/1/20,55.41,46.189999,46.012913,89591700
Southwest,,3/1/20,46.540001,35.610001,35.473476,247156000
Southwest,20201,4/1/20,34.049999,31.25,31.25,450738100
Southwest,,5/1/20,30.5,32.099998,32.099998,560121600
Southwest,,6/1/20,32.299999,34.18,34.18,572792700
Southwest,20202,7/1/20,35.290001,30.889999,30.889999,298878700
Southwest,,8/1/20,30.75,37.580002,37.580002,255736400
Southwest,,9/1/20,36.84,37.5,37.5,251989000
Southwest,20203,10/1/20,37.959999,39.529999,39.529999,199321500
Southwest,,11/1/20,39.93,46.34,46.34,207593600
Southwest,,12/1/20,46.549999,46.610001,46.610001,161173000
Southwest,20204,1/1/21,46.48,43.939999,43.939999,142916000
Southwest,,2/1/21,44.34,58.130001,58.130001,165086900
Southwest,,3/1/21,59.549999,61.060001,61.060001,194852300
Southwest,20211,4/1/21,61.27,62.779999,62.779999,116894100
Southwest,,5/1/21,63.009998,61.459999,61.459999,113981200
Southwest,,6/1/21,61.939999,53.09,53.09,138252500
Southwest,20212,7/1/21,53.599998,50.52,50.52,178675500
Southwest,,8/1/21,50.599998,49.779999,49.779999,150604800
Southwest,,9/1/21,50,51.43,51.43,136907800
Southwest,20213,10/1/21,53.77,47.279999,47.279999,160313600
Southwest,,11/1/21,47.34,44.400002,44.400002,164412500
Southwest,,12/1/21,44.990002,42.84,42.84,243956800
Southwest,20214,1/1/22,43.169998,44.759998,44.759998,166796600
Southwest,,2/1/22,45,43.799999,43.799999,138299900
Southwest,,3/1/22,43.400002,45.799999,45.799999,195541300
Southwest,20221,4/1/22,45.919998,46.720001,46.720001,140388800
Southwest,,5/1/22,46.400002,45.860001,45.860001,102711200
Southwest,,6/1/22,46.400002,36.119999,36.119999,125918400
Southwest,20222,7/1/22,36.09,38.119999,38.119999,127426100
Southwest,,8/1/22,38,36.700001,36.700001,105387800
Southwest,,9/1/22,36.32,30.84,30.84,131026200
Southwest,20223,10/28/22,35.580002,35.987499,35.987499,5161281
