year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2022,8,DL,Delta Air Lines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",18263,2350,836.9,116.23,610,2.47,784.4,92,47,183237,96937,8971,25725,176,51428
2022,8,DL,Delta Air Lines Inc.,BNA,"Nashville, TN: Nashville International",717,117,61.16,7.62,24.61,0,23.61,3,3,6807,4335,331,720,0,1421
2022,8,DL,Delta Air Lines Inc.,BOS,"Boston, MA: Logan International",1896,554,168.77,16.85,258.97,0,109.41,20,4,43208,19324,1429,12514,0,9941
2022,8,DL,Delta Air Lines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",424,69,33.19,5.51,22.09,0,8.21,5,2,4418,2176,601,1266,0,375
2022,8,DL,Delta Air Lines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",463,66,38.31,1.43,14.72,0,11.54,1,1,4021,2657,75,595,0,694
2022,8,DL,Delta Air Lines Inc.,DAL,"Dallas, TX: Dallas Love Field",151,20,10.51,0,7.18,0,2.31,0,3,761,419,0,189,0,153
2022,8,DL,Delta Air Lines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",701,141,53.94,4.62,55.9,0,26.54,14,4,10275,3851,245,4609,0,1570
2022,8,DL,Delta Air Lines Inc.,DEN,"Denver, CO: Denver International",955,152,70.35,6.54,48.09,0,27.02,5,1,8456,4030,282,2335,0,1809
2022,8,DL,Delta Air Lines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",921,181,73.68,8.05,52.37,0,46.9,10,13,13806,6001,345,3337,0,4123
2022,8,DL,Delta Air Lines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",4974,647,224.86,35.22,146.89,1,239.03,48,4,53381,20733,2381,9401,36,20830
2022,8,DL,Delta Air Lines Inc.,EWR,"Newark, NJ: Newark Liberty International",497,113,40.25,4.87,55.24,1,11.64,7,2,9676,2864,285,5675,17,835
2022,8,DL,Delta Air Lines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",805,157,83.49,6.91,36.04,0.59,29.97,6,0,8799,5107,342,1559,59,1732
2022,8,DL,Delta Air Lines Inc.,IAD,"Washington, DC: Washington Dulles International",221,27,14.54,2.9,6.47,0,3.09,0,3,2547,1373,146,582,0,446
2022,8,DL,Delta Air Lines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",578,114,50.88,5.03,30.75,0,27.34,7,6,8354,4367,302,1679,0,2006
2022,8,DL,Delta Air Lines Inc.,JFK,"New York, NY: John F. Kennedy International",2282,528,152.75,13.32,220.07,0,141.87,40,8,38665,15226,952,10680,0,11807
2022,8,DL,Delta Air Lines Inc.,LAS,"Las Vegas, NV: McCarran International",1204,177,89.19,5.68,53.79,0,28.33,7,3,12037,7465,322,2791,0,1459
2022,8,DL,Delta Air Lines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2922,440,203.84,18.64,118.9,0,98.62,28,1,39066,25928,1122,5200,0,6816
2022,8,DL,Delta Air Lines Inc.,LGA,"New York, NY: LaGuardia",2107,464,123.1,19.16,212.71,0,109.04,57,21,50955,17155,3558,21221,0,9021
2022,8,DL,Delta Air Lines Inc.,MCO,"Orlando, FL: Orlando International",1563,335,135.05,11.82,121.58,0.81,65.74,8,9,19734,8631,891,5854,17,4341
2022,8,DL,Delta Air Lines Inc.,MDW,"Chicago, IL: Chicago Midway International",89,23,12.2,0.53,7.69,0,2.57,0,1,990,552,48,231,0,159
2022,8,DL,Delta Air Lines Inc.,MIA,"Miami, FL: Miami International",648,138,58.59,4.45,47.19,0,27.76,2,0,9121,5151,233,1905,0,1832
2022,8,DL,Delta Air Lines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",5181,713,254.02,38.69,168.69,0,251.59,25,2,53617,24451,4766,7731,0,16669
