Year,Month,yyyymm,Sum of arr_flights,Sum of arr_del15,Sum of carrier_ct,Sum of weather_ct,Sum of nas_ct,Sum of security_ct,Sum of late_aircraft_ct,Sum of arr_cancelled,Sum of arr_delay,Sum of carrier_delay,Sum of weather_delay,Sum of nas_delay,Sum of security_delay,Sum of late_aircraft_delay,Price Date,Open Stock Price
2017,8,201708,63969,7997,2273.8,263.97,3140.93,14.24,2304.04,165,491921,180519,17008,149234,722,144438,9/1/17,47.419998
2017,9,201709,56627,5144,1671.55,168.47,2118.92,5.56,1179.56,1264,339677,142524,20230,102393,230,74300,10/1/17,48.349998
2017,10,201710,59642,6479,1927.1,144.21,2566.44,11.35,1829.9,6,414382,148600,8177,141443,841,115321,11/1/17,50.189999
2017,11,201711,55816,3707,1286.61,79.43,1527.36,6.39,807.2,0,206884,99917,6670,55586,328,44383,12/1/17,52.549999
2017,12,201712,55422,7628,2387.08,512.64,2720.73,13.41,1994.07,1478,589214,212733,73127,169574,713,133067,1/1/18,56.290001
2018,1,201801,53764,7333,2055.53,666.95,2534.56,2.61,2073.32,1146,589988,175398,87124,161820,129,165517,2/1/18,56.509998
2018,2,201802,49845,6114,1758.43,274.88,2434.38,4.49,1641.81,57,435367,162185,31701,112705,320,128456,3/1/18,53.869999
2018,3,201803,61207,7449,2295.14,292.52,2877.05,6.7,1977.59,787,458637,171037,47922,121369,652,117657,4/1/18,54.59
2018,4,201804,59717,8143,2314.36,224.75,3498.85,8.1,2096.95,206,501370,177553,30374,151027,382,142034,5/1/18,52.27
2018,5,201805,61685,9133,2564.47,342.24,3868.03,10.54,2347.7,18,565397,200875,32092,188832,603,142995,6/1/18,54.419998
2018,6,201806,63358,11090,3238.57,653.18,3900.26,6.04,3291.97,86,861772,283184,64048,236840,422,277278,7/1/18,49.25
2018,7,201807,65604,10665,2708.06,615.53,4094.12,6.66,3240.59,91,820362,227880,55294,268674,387,268127,8/1/18,54.790001
2018,8,201808,66651,11155,2844.49,531.58,4363.51,10.45,3404.99,141,822526,234185,45145,277548,575,265073,9/1/18,58.5
2018,9,201809,58726,6932,1891.53,227.27,3090.24,9.65,1713.31,58,415066,142776,20658,144828,571,106233,10/1/18,57.990002
2018,10,201810,61865,6455,1825.13,130.88,2823.62,5.14,1670.25,42,339128,125698,11540,102948,223,98719,11/1/18,54.93
2018,11,201811,57463,9637,2174.83,367.53,4265.73,2,2826.92,92,572891,173429,39557,187366,72,172467,12/1/18,61
2018,12,201812,57206,6362,1844.2,237.36,2703.87,2.22,1574.37,31,345534,132711,20646,102241,121,89815,1/1/19,49.25
2019,1,201901,56387,7611,1938.98,421.39,3232.41,5,2013.21,265,561952,173821,60542,174874,147,152568,2/1/19,49.630001
2019,2,201902,51444,9590,2256.22,496.23,4013.18,13.36,2811.05,53,709257,198522,73823,210089,952,225871,3/1/19,49.369999
2019,3,201903,63845,7651,2414.64,260.03,2837.67,7,2131.66,60,511446,200189,36006,125392,550,149309,4/1/19,51.82
2019,4,201904,62315,8711,2352.91,285.57,3443.27,9.15,2620.05,113,707185,228592,43495,215435,483,219180,5/1/19,58.200001
2019,5,201905,65040,8893,2513.59,301.46,3688.09,10.45,2379.44,0,627780,211249,33935,200974,756,180866,6/1/19,51.48
2019,6,201906,66171,13069,3657.83,524.6,4964.35,10.91,3911.28,116,926070,292843,48744,281625,1237,301621,7/1/19,57.299999
2019,7,201907,68848,12804,3853.62,541.05,4476.4,13.94,3919.01,285,1100296,367798,67120,316265,730,348383,8/1/19,61.310001
2019,8,201908,69336,11725,3322.79,420.34,4524.05,9.73,3448.08,202,873392,306791,42611,268702,982,254306,9/1/19,57.439999
2019,9,201909,61897,6925,1914.64,157.52,3101.64,4.53,1746.59,309,444389,158124,21296,150486,235,114248,10/1/19,58.049999
2019,10,201910,65341,8990,2334.16,155.62,4207.63,10.84,2281.75,5,500799,183850,18495,169465,746,128243,11/1/19,55.549999
2019,11,201911,60811,6612,1887.56,147.4,2800.85,4.79,1771.34,46,400787,147214,28080,118363,329,106801,12/1/19,57.25
2019,12,201912,62556,9996,2773.84,348.92,4008.54,6.35,2858.3,25,614565,200319,33770,193974,385,186117,1/1/20,58.93
2020,1,202001,61457,6599,1895.67,223.17,2819.11,7.96,1653.07,34,400200,150082,29442,118527,476,101673,2/1/20,56.200001
2020,2,202002,57789,7656,1876.79,243.3,3096.09,2.69,2437.14,12,531638,160777,27528,148920,182,194231,3/1/20,46.220001
2020,3,202003,65849,4245,1550.06,61.78,1683.15,5.05,944.93,14776,286613,151319,8606,68820,299,57569,4/1/20,26.59
2020,4,202004,20071,1162,596.91,11.07,461.81,0,92.19,5124,74821,55141,731,13057,0,5892,5/1/20,24.950001
2020,5,202005,13420,612,338.84,18.63,195.42,0,59.09,12,36208,26632,1124,5299,0,3153,6/1/20,25.33
2020,6,202006,17609,924,423.72,32.07,343.55,6.72,117.92,9,52992,32069,3068,9489,368,7998,7/1/20,29.02
2020,7,202007,29790,2624,1095.3,114.61,1033.21,13.22,367.69,396,153240,83146,7805,34805,1029,26455,8/1/20,24.85
2020,8,202008,36983,3032,1140.09,190.36,1213.02,19.46,468.07,84,171915,86568,11347,42223,974,30294,9/1/20,30.02
2020,9,202009,34668,1610,720.11,55.1,538.62,19.56,276.64,47,100824,58769,3473,16908,811,20863,10/1/20,30.99
2020,10,202010,36831,2226,874.28,76.41,935.88,11.82,327.59,37,132454,72389,8668,29117,680,21600,11/1/20,30.620001
2020,11,202011,38960,3038,1023.3,48.72,1489,15.46,461.54,666,159524,81691,3969,43887,955,29022,12/1/20,40.790001
2020,12,202012,39516,5141,1631.23,95.18,2676.77,11.22,726.6,486,282310,133709,17088,83110,560,47843,1/1/21,40.169998
2021,1,202101,38424,3403,1160.25,48.88,1572.84,10.19,610.83,79,231276,108902,6742,65193,573,49866,2/1/21,38.349998
2021,2,202102,34897,3574,1051.68,215.02,1720.87,13.45,573.01,704,231894,103915,30375,59059,685,37860,3/1/21,49.470001
2021,3,202103,43997,3002,1233.04,74.61,1146.39,15.35,532.62,145,207091,123505,6093,39671,708,37114,4/1/21,48.59
2021,4,202104,43957,3670,1598.17,120.29,1133.6,31.02,786.91,284,285409,149874,16224,51091,3665,64555,5/1/21,47.189999
2021,5,202105,47971,4476,2012.7,173.22,1355.76,27.8,906.55,6,306032,166599,14419,56424,1146,67444,6/1/21,48.130001
2021,6,202106,50012,6457,2632.66,270.9,1989.78,20.45,1543.17,7,426986,215582,23974,84486,1292,101652,7/1/21,43.5
2021,7,202107,52940,7639,3196.17,357.67,2125.61,40.19,1919.34,54,534917,264245,32535,98400,2468,137269,8/1/21,40.040001
2021,8,202108,53487,7239,3035.28,350.94,2060.86,22.26,1769.64,63,495472,250235,29682,91336,1114,123105,9/1/21,40.57
2021,9,202109,51503,4978,2200.96,134.6,1479.13,26.2,1137.13,193,350412,183525,23102,61115,1191,81479,10/1/21,43.950001
2021,10,202110,54348,6127,2493.11,139.56,1935.44,23.97,1534.85,31,403338,206019,13371,78055,1083,104810,11/1/21,39.150002
2021,11,202111,53857,5297,2235.43,71.22,1625.67,52.26,1312.47,10,329108,182456,7751,49768,3973,85160,12/1/21,36.869999
2021,12,202112,52759,9362,3724.5,384.03,2581.69,16.69,2655.13,1315,708366,342303,51800,108828,827,204608,1/1/22,39.790001
