Year,Month,yyyymm,Sum of arr_flights,Sum of arr_del15,Sum of carrier_ct,Sum of weather_ct,Sum of nas_ct,Sum of security_ct,Sum of late_aircraft_ct,Sum of arr_cancelled,Sum of arr_delay,Sum of carrier_delay,Sum of weather_delay,Sum of nas_delay,Sum of security_delay,Sum of late_aircraft_delay,Price Date,Open Stock Price
2017,8,201708,116158,31080,8555.61,790.34,6111.34,28.38,15594.37,3319,1563092,419307,65996,243979,1302,832508,9/1/17,52.349998
2017,9,201709,105614,14960,4481.91,369.56,3118.29,16.86,6973.49,3450,723080,204936,28738,123019,475,365912,10/1/17,56.02
2017,10,201710,110262,16210,5113.6,101.67,3400.8,65.33,7528.6,648,712638,245318,6251,118391,3294,339384,11/1/17,54.029999
2017,11,201711,109016,12890,4530.07,91.78,2208.13,56.65,6003.45,473,617547,226986,8527,76203,5076,300755,12/1/17,60.509998
2017,12,201712,111052,22030,7126.21,230.74,3919.41,111.81,10641.84,1061,1038820,338765,20552,148000,6114,525389,1/1/18,65.910004
2018,1,201801,109676,17278,5181.91,213.64,4112.93,43.77,7725.75,2467,784633,242623,13976,153453,2219,372362,2/1/18,60.509998
2018,2,201802,97017,19965,6050.06,214.4,4569.13,57.54,9073.85,2037,904420,281639,16111,172246,2463,431961,3/1/18,57.779999
2018,3,201803,116420,22257,7237.6,255.76,4092.95,81.31,10589.24,2243,1055978,351314,18308,157210,3485,525661,4/1/18,57.189999
2018,4,201804,114117,24043,7617.27,231.1,4420.51,54.89,11719.09,1220,1230800,402226,20882,171507,2276,633909,5/1/18,52.799999
2018,5,201805,116849,25848,8013.26,488.56,4726.63,68.28,12551.33,1445,1390568,412470,40968,222064,3061,712005,6/1/18,51.200001
2018,6,201806,115939,24303,7747.76,625.44,4375.72,76.76,11477.26,1262,1315846,400249,46171,201169,3921,664336,7/1/18,50.630001
2018,7,201807,120114,28136,8898.07,803.23,5388.35,109.42,12936.92,2107,1579421,469499,63975,258111,4628,783208,8/1/18,58.119999
2018,8,201808,115534,23323,7244.97,663,5170.2,55.01,10189.83,1928,1287554,396455,48500,244155,2553,595891,9/1/18,61.43
2018,9,201809,106972,14831,4502.54,390.17,3521.83,60.83,6355.66,1049,758693,232714,28433,151311,5687,340548,10/1/18,62.610001
2018,10,201810,114663,18098,5582.6,259.57,4079.48,40.27,8136.09,648,846479,275075,17965,148696,2066,402677,11/1/18,49.299999
2018,11,201811,112224,19414,6379.31,214.37,3816.7,55.36,8948.31,938,942354,316931,21194,146662,2376,455191,12/1/18,54.900002
2018,12,201812,113027,22854,7915.29,193.57,3972,137.65,10635.45,931,1094028,374648,16765,151430,5763,545422,1/1/19,46.049999
2019,1,201901,111312,16111,5218.6,255.55,4056.17,39.23,6541.6,3949,739203,254331,16840,151403,1249,315380,2/1/19,56.990002
2019,2,201902,99500,21508,7348.78,334.96,4421.96,83.17,9319.15,4578,1190390,416738,30694,188077,11647,543234,3/1/19,56.279999
2019,3,201903,119413,18482,7104.93,126.41,3057.71,72.23,8120.69,5294,927454,382072,8314,112302,4164,420602,4/1/19,52.27
2019,4,201904,115401,19636,7260.12,307.54,3318.14,64.85,8685.33,4649,1048442,382319,28825,147707,2708,486883,5/1/19,54.599998
2019,5,201905,117849,23973,8080.9,494.1,4394.79,56.95,10946.29,4140,1349445,438658,44077,202717,2582,661411,6/1/19,47.599998
2019,6,201906,115213,25992,8136.13,658.78,5347.9,112.29,11736.72,2334,1443258,424311,55369,254869,6859,701850,7/1/19,51.200001
2019,7,201907,119342,21555,7137.65,679.87,4248.8,86.61,9401.97,1614,1234006,385128,57689,217831,3370,569988,8/1/19,51.529999
2019,8,201908,116526,18988,6030.62,521.02,4299.94,69.25,8067.23,1539,995613,300938,42467,201967,1994,448247,9/1/19,51.889999
