year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2022,8,UA,United Air Lines Inc.,ABQ,"Albuquerque, NM: Albuquerque International Sunport",149,33,12.73,2.01,5.53,0,12.73,1,0,2384,760,149,227,0,1248
2022,8,UA,United Air Lines Inc.,ALB,"Albany, NY: Albany International",89,21,5.21,1.72,3.77,0,10.31,1,1,1676,426,273,180,0,797
2022,8,UA,United Air Lines Inc.,ANC,"Anchorage, AK: Ted Stevens Anchorage International",217,47,17.61,0.86,17.42,0,11.11,3,0,2919,1040,61,653,0,1165
2022,8,UA,United Air Lines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",457,119,39.7,6.71,35.03,0,37.56,13,0,9741,2791,1129,1332,0,4489
2022,8,UA,United Air Lines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",708,148,51.54,6.85,33.12,0,56.49,15,1,10318,3248,623,1693,0,4754
2022,8,UA,United Air Lines Inc.,BDL,"Hartford, CT: Bradley International",203,57,19.01,3.51,14.44,0,20.04,8,1,3784,1101,465,478,0,1740
2022,8,UA,United Air Lines Inc.,BIL,"Billings, MT: Billings Logan International",62,12,3.05,1,0.35,0,7.6,1,0,997,213,58,23,0,703
2022,8,UA,United Air Lines Inc.,BNA,"Nashville, TN: Nashville International",286,56,20.04,6.1,12.79,0,17.08,7,2,5462,2281,550,565,0,2066
2022,8,UA,United Air Lines Inc.,BOI,"Boise, ID: Boise Air Terminal",93,15,4.41,1,0.81,0,8.77,2,0,965,167,69,19,0,710
2022,8,UA,United Air Lines Inc.,BOS,"Boston, MA: Logan International",966,189,62.94,15.12,51.8,0,59.14,21,0,13907,4226,1688,3113,0,4880
2022,8,UA,United Air Lines Inc.,BQN,"Aguadilla, PR: Rafael Hernandez",31,15,5.22,0,3.63,0,6.14,0,0,1052,267,0,287,0,498
2022,8,UA,United Air Lines Inc.,BTV,"Burlington, VT: Burlington International",93,13,2.95,0.48,4.26,0,5.3,4,0,1205,288,66,161,0,690
2022,8,UA,United Air Lines Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",88,14,5,0,1.8,0,7.2,2,1,1156,359,0,90,0,707
2022,8,UA,United Air Lines Inc.,BUR,"Burbank, CA: Bob Hope",54,13,4.34,0.8,0.91,0,6.95,0,0,951,453,48,35,0,415
2022,8,UA,United Air Lines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",273,56,21.07,1.75,21.36,0,11.83,4,1,3837,968,933,1122,0,814
2022,8,UA,United Air Lines Inc.,BZN,"Bozeman, MT: Bozeman Yellowstone International",194,28,8.98,0,2.59,0,16.44,4,1,1940,422,0,59,0,1459
2022,8,UA,United Air Lines Inc.,CHS,"Charleston, SC: Charleston AFB/International",243,52,21.28,3.56,12.89,0,14.27,10,1,3741,1643,430,617,0,1051
