Airline,Time,Quarter,Amount,Type,Source
United,20171,201701,"$5,876,000,000.00 ","$1,958,666,667.00 ",GrossProfit
United,20171,201702,"$5,876,000,000.00 ","$1,958,666,667.00 ",GrossProfit
United,20171,201703,"$5,876,000,000.00 ","$1,958,666,667.00 ",GrossProfit
United,20172,201704,"$7,318,000,000.00 ","$2,439,333,334.00 ",GrossProfit
United,20172,201705,"$7,318,000,000.00 ","$2,439,333,334.00 ",GrossProfit
United,20172,201706,"$7,318,000,000.00 ","$2,439,333,334.00 ",GrossProfit
United,20173,201707,"$6,695,000,000.00 ","$2,231,666,667.00 ",GrossProfit
United,20173,201708,"$6,695,000,000.00 ","$2,231,666,667.00 ",GrossProfit
United,20173,201709,"$6,695,000,000.00 ","$2,231,666,667.00 ",GrossProfit
United,20174,201710,"$6,858,000,000.00 ","$2,286,000,000.00 ",GrossProfit
United,20174,201711,"$6,858,000,000.00 ","$2,286,000,000.00 ",GrossProfit
United,20174,201712,"$6,858,000,000.00 ","$2,286,000,000.00 ",GrossProfit
United,20181,201801,"$5,997,000,000.00 ","$1,999,000,000.00 ",GrossProfit
United,20181,201802,"$5,997,000,000.00 ","$1,999,000,000.00 ",GrossProfit
United,20181,201803,"$5,997,000,000.00 ","$1,999,000,000.00 ",GrossProfit
United,20182,201804,"$7,256,000,000.00 ","$2,418,666,667.00 ",GrossProfit
United,20182,201805,"$7,256,000,000.00 ","$2,418,666,667.00 ",GrossProfit
United,20182,201806,"$7,256,000,000.00 ","$2,418,666,667.00 ",GrossProfit
United,20183,201807,"$7,300,000,000.00 ","$2,433,333,334.00 ",GrossProfit
United,20183,201808,"$7,300,000,000.00 ","$2,433,333,334.00 ",GrossProfit
United,20183,201809,"$7,300,000,000.00 ","$2,433,333,334.00 ",GrossProfit
United,20184,201810,"$7,027,000,000.00 ","$2,342,333,334.00 ",GrossProfit
United,20184,201811,"$7,027,000,000.00 ","$2,342,333,334.00 ",GrossProfit
United,20184,201812,"$7,027,000,000.00 ","$2,342,333,334.00 ",GrossProfit
United,20191,201901,"$6,470,000,000.00 ","$2,156,666,667.00 ",GrossProfit
United,20191,201902,"$6,470,000,000.00 ","$2,156,666,667.00 ",GrossProfit
United,20191,201903,"$6,470,000,000.00 ","$2,156,666,667.00 ",GrossProfit
United,20192,201904,"$7,881,000,000.00 ","$2,627,000,000.00 ",GrossProfit
United,20192,201905,"$7,881,000,000.00 ","$2,627,000,000.00 ",GrossProfit
United,20192,201906,"$7,881,000,000.00 ","$2,627,000,000.00 ",GrossProfit
United,20193,201907,"$7,873,000,000.00 ","$2,624,333,334.00 ",GrossProfit
United,20193,201908,"$7,873,000,000.00 ","$2,624,333,334.00 ",GrossProfit
United,20193,201909,"$7,873,000,000.00 ","$2,624,333,334.00 ",GrossProfit
United,20194,201910,"$7,439,000,000.00 ","$2,479,666,667.00 ",GrossProfit
United,20194,201911,"$7,439,000,000.00 ","$2,479,666,667.00 ",GrossProfit
United,20194,201912,"$7,439,000,000.00 ","$2,479,666,667.00 ",GrossProfit
United,20201,202001,"$5,082,000,000.00 ","$1,694,000,000.00 ",GrossProfit
United,20201,202002,"$5,082,000,000.00 ","$1,694,000,000.00 ",GrossProfit
United,20201,202003,"$5,082,000,000.00 ","$1,694,000,000.00 ",GrossProfit
