Airline,Time,Amount,Type,Source
Delta,20223,13975000000,Revenue,https://www.macrotrends.net/stocks/charts/DAL/delta-air-lines/revenue
Delta,20222,13824000000,Revenue,https://www.macrotrends.net/stocks/charts/DAL/delta-air-lines/revenue
Delta,20221,9348000000,Revenue,https://www.macrotrends.net/stocks/charts/DAL/delta-air-lines/revenue
Delta,20214,9469000000,Revenue,https://www.macrotrends.net/stocks/charts/DAL/delta-air-lines/revenue
Delta,20213,9154000000,Revenue,https://www.macrotrends.net/stocks/charts/DAL/delta-air-lines/revenue
Delta,20212,7126000000,Revenue,https://www.macrotrends.net/stocks/charts/DAL/delta-air-lines/revenue
Delta,20211,4150000000,Revenue,https://www.macrotrends.net/stocks/charts/DAL/delta-air-lines/revenue
Delta,20204,3973000000,Revenue,https://www.macrotrends.net/stocks/charts/DAL/delta-air-lines/revenue
Delta,20203,3062000000,Revenue,https://www.macrotrends.net/stocks/charts/DAL/delta-air-lines/revenue
Delta,20202,1468000000,Revenue,https://www.macrotrends.net/stocks/charts/DAL/delta-air-lines/revenue
Delta,20201,8592000000,Revenue,https://www.macrotrends.net/stocks/charts/DAL/delta-air-lines/revenue
Delta,20194,11439000000,Revenue,https://www.macrotrends.net/stocks/charts/DAL/delta-air-lines/revenue
Delta,20193,12560000000,Revenue,https://www.macrotrends.net/stocks/charts/DAL/delta-air-lines/revenue
Delta,20192,12536000000,Revenue,https://www.macrotrends.net/stocks/charts/DAL/delta-air-lines/revenue
Delta,20191,10472000000,Revenue,https://www.macrotrends.net/stocks/charts/DAL/delta-air-lines/revenue
Delta,20184,10742000000,Revenue,https://www.macrotrends.net/stocks/charts/DAL/delta-air-lines/revenue
Delta,20183,11953000000,Revenue,https://www.macrotrends.net/stocks/charts/DAL/delta-air-lines/revenue
Delta,20182,11775000000,Revenue,https://www.macrotrends.net/stocks/charts/DAL/delta-air-lines/revenue
Delta,20181,9968000000,Revenue,https://www.macrotrends.net/stocks/charts/DAL/delta-air-lines/revenue
Delta,20174,10229000000,Revenue,https://www.macrotrends.net/stocks/charts/DAL/delta-air-lines/revenue
Delta,20173,11061000000,Revenue,https://www.macrotrends.net/stocks/charts/DAL/delta-air-lines/revenue
Delta,20172,10747000000,Revenue,https://www.macrotrends.net/stocks/charts/DAL/delta-air-lines/revenue
Delta,20171,9101000000,Revenue,https://www.macrotrends.net/stocks/charts/DAL/delta-air-lines/revenue
Delta,20223,4903000000,GrossProfit,https://www.macrotrends.net/stocks/charts/DAL/delta-air-lines/gross-profit
Delta,20222,5237000000,GrossProfit,https://www.macrotrends.net/stocks/charts/DAL/delta-air-lines/gross-profit
Delta,20221,2311000000,GrossProfit,https://www.macrotrends.net/stocks/charts/DAL/delta-air-lines/gross-profit
Delta,20214,3172000000,GrossProfit,https://www.macrotrends.net/stocks/charts/DAL/delta-air-lines/gross-profit
Delta,20213,3114000000,GrossProfit,https://www.macrotrends.net/stocks/charts/DAL/delta-air-lines/gross-profit
Delta,20212,1715000000,GrossProfit,https://www.macrotrends.net/stocks/charts/DAL/delta-air-lines/gross-profit
Delta,20211,-597000000,GrossProfit,https://www.macrotrends.net/stocks/charts/DAL/delta-air-lines/gross-profit
Delta,20204,27000000,GrossProfit,https://www.macrotrends.net/stocks/charts/DAL/delta-air-lines/gross-profit
Delta,20203,-610000000,GrossProfit,https://www.macrotrends.net/stocks/charts/DAL/delta-air-lines/gross-profit
