Company,Date,MarketCap,EnterpriseValue
United,10/31/2022,14084050959,32367050959
United,9/30/2022,10634934106,28569934106
United,8/31/2022,11439331876,29374331876
United,7/29/2022,12007867651,29942867651
United,6/30/2022,11573276057,31508276057
United,5/31/2022,15562196672,35497196672
United,4/29/2022,16499914591,36434914591
United,3/31/2022,15147149995,36107149995
United,2/28/2022,14413409140,35373409140
United,1/31/2022,13885008176,35679008176
United,12/31/2021,14176437918,34641437918
United,11/30/2021,13684063408,34149063408
United,10/29/2021,14940432694,35405432694
United,9/30/2021,15403480437,34416480437
United,8/31/2021,15051234165,34064234165
United,7/30/2021,15119192865,34132192865
United,6/30/2021,16921606901,37605606901
United,5/31/2021,18880791120,39564791120
United,4/30/2021,17602657017,38286657017
United,3/31/2021,18618645782,39686645782
United,3/4/2021,16576690374,37644690374
United,2/26/2021,16777330430,37845330430
United,2/12/2021,13700920267,34768920267
United,2/4/2021,13225356289,34293356289
United,1/29/2021,12470690827,33538690827
United,12/31/2020,13487306284,32646306284
United,11/30/2020,13184438912,32343438912
United,10/30/2020,9852954345,29011954345
United,10/28/2020,9486305719,28645305719
United,9/30/2020,10111918276,27540918276
United,9/24/2020,9526812002,26955812002
United,9/17/2020,11160686448,28589686448
United,9/2/2020,10734395074,28163395074
United,8/31/2020,10475448300,27904448300
United,8/19/2020,10021477147,27450477147
United,7/31/2020,9131067156,26560067156
United,7/29/2020,9477337708,26906337708
United,7/16/2020,10017510787,28225510787
United,7/14/2020,9218782035,27426782035
United,6/30/2020,10070894495,28278894495
United,6/12/2020,11518539584,29726539584
United,5/29/2020,8143717850,26351717850
United,5/7/2020,6607331708,24815331708
United,4/30/2020,8590983381,26798983381
United,3/31/2020,7800953775,23306953775
United,2/28/2020,15271309234,30777309234
United,1/31/2020,18790985298,34296985298
United,12/31/2019,22129651002,37143651002
United,11/29/2019,23482450720,38496450720
United,10/31/2019,22986485166,38000485166
United,9/30/2019,22422933734,37161933734
United,8/30/2019,21661049051,36400049051
United,7/31/2019,23613652215,38352652215
United,6/28/2019,23036978707,39057978707
United,5/31/2019,20431997677,36452997677
United,4/30/2019,23381678217,39402678217
United,3/29/2019,21279526093,32057526093
United,2/28/2019,23421348536,34199348536
United,1/31/2019,23555461890,34333461890
United,12/31/2018,22599963608,32044963608
United,11/30/2018,26347308640,35792308640
United,10/31/2018,23298431870,32743431870
United,9/28/2018,24278109746,33710109746
United,8/31/2018,23831039232,33263039232
United,7/31/2018,21917359348,31349359348
United,6/29/2018,19333722826,29822722826
United,5/31/2018,19294905657,29783905657
United,4/30/2018,18726511397,29215511397
United,3/30/2018,19778147000,30372147000
United,2/28/2018,19299850081,29893850081
United,1/31/2018,19462522084,29077522084
United,12/29/2017,19967414119,29582414119
United,11/30/2017,18758704184,28373704184
United,10/31/2017,17324842398,26939842398
United,9/29/2017,18521241804,27035241804
United,8/31/2017,18849805226,27363805226
United,7/31/2017,20589974462,29103974462
United,6/30/2017,22952016045,31416016045
United,5/31/2017,24670293998,33134293998
United,4/28/2017,21740948181,30204948181
United,3/31/2017,21978239517,29255239517
United,2/28/2017,23310392212,30587392212
United,1/31/2017,22170760069,28771760069
United,12/30/2016,23123773289,29724773289
United,11/30/2016,21876840947,28477840947
United,10/31/2016,17840968332,24441968332
United,9/30/2016,16680510609,23410510609
United,8/31/2016,16252602302,22982602302
United,7/29/2016,15117725093,21847725093
United,6/30/2016,13253133219,20887133219
United,5/31/2016,15136698300,22770698300
United,4/29/2016,15378402065,23012402065
United,3/31/2016,20310774852,26873774852
United,2/29/2016,20584100106,27147100106
United,1/29/2016,17603327734,24125327734
United,12/31/2015,20892101888,27414101888
United,11/30/2015,20776716124,27298716124
United,10/30/2015,22484187142,29006187142
United,9/30/2015,19826370293,26500370293
United,8/31/2015,21521117433,28195117433
United,7/31/2015,21302015307,27976015307
United,6/30/2015,20082248763,26760248763
United,5/29/2015,20853459155,27531459155
United,4/30/2015,22820766623,29498766623
United,3/31/2015,25722499104,33453499104
United,2/27/2015,25043874731,32774874731
United,1/30/2015,25980862792,32560862792
United,12/31/2014,25052038521,31632038521
United,11/28/2014,22598202696,29178202696
United,10/31/2014,19490626888,26070626888
United,9/30/2014,17299618506,23823618506
United,8/29/2014,17785884896,24309884896
United,7/31/2014,17330123931,23854123931
United,6/30/2014,15342506018,22442506018
United,5/30/2014,16572390627,23672390627
United,4/30/2014,15265125195,22365125195
United,3/31/2014,16669437238,23957437238
United,2/28/2014,16705171877,23993171877
United,1/31/2014,16607078161,22930078161
United,12/31/2013,13705186885,20028186885
United,11/29/2013,14203459986,20526459986
United,10/31/2013,12285540548,18608540548
United,9/30/2013,11113059638,17115059638
United,8/30/2013,10129019956,16131019956
United,7/31/2013,12403244746,18405244746
United,6/28/2013,10448904906,17205904906
United,5/31/2013,10839611801,17596611801
United,4/30/2013,10786181799,17543181799
United,3/29/2013,10647650799,17270650799
United,2/28/2013,8884684562,15507684562
United,1/31/2013,8029217612,14652217612
United,12/31/2012,7773213573,14396213573
United,11/30/2012,6721671270,12285671270
United,10/31/2012,6385920134,11949920134
